#,Categorie,Secteur,Ville,Nom,Adresse,Telephone,Email,Site?,Email?,Note,Nb Avis,Gamme Prix,Services,Nb Photos,Horaires,Editorial,Types Google,URL Maps,Citation Neg,Points Forts,Probleme,Accroche Email,Statut,1er contact,Relance 1,Relance 2,Relance 3,RDV,Call booke,Notes
11,Commerce,Epicerie,Paris,SUPERETTE ALIMENTATION,"5 Rue de l'Amiral Roussin, 75015 Paris, France",06 56 55 55 69,,NON,NON,4.4,16,,livraison,10,lundi: 10:00 – 03:00 | mardi: 10:00 – 03:00 | mercredi: 10:00 – 03:00 | jeudi: 10:00 – 03:00 | vendredi: 10:00 – 03:00 | samedi: 10:00 – 03:00 | dimanche: 10:00 – 03:00,,"grocery_or_supermarket, store",https://maps.google.com/?cid=8001956164137501717,écrit ouvert alors que fermé,"accueil, disponible, propre",vos horaires sont introuvables ou incorrects en ligne,"Un de vos clients sur Google signale que c'est vos horaires sont introuvables ou incorrects en ligne. Un d'eux a meme ecrit : ""écrit ouvert alors que fermé"" C'est frustrant, et vos clients se deplacent pour rien. La solution : un site avec vos horaires toujours a jour.",A contacter,,,,,,,
12,Commerce,Epicerie,Paris,Market Paris Express,"20 Rue Dauphine, 75006 Paris, France",06 00 00 00 00,,NON,NON,3.9,35,,,10,lundi: 14:30 – 01:30 | mardi: 14:30 – 01:30 | mercredi: 14:30 – 01:30 | jeudi: 14:30 – 01:30 | vendredi: 14:30 – 02:00 | samedi: 14:30 – 02:00 | dimanche: 14:30 – 01:30,,"grocery_or_supermarket, store",https://maps.google.com/?cid=5672901094692570359,"Comportement inacceptable du vendeur : ton condescendant et remarques déplacées. Rien à redire sur le produit, mais l’attitude ne donne absolument pas envie de revenir.","accueil, chaleureux, sympathique",peu d'avis Google,"Vous n'avez que 5 avis sur Google. Vos concurrents en ont souvent 10x plus. Sans site web, vous etes invisible pour les gens qui cherchent votre activite.",A contacter,,,,,,,
13,Commerce,Epicerie,Paris,Shop Market - Épicerie De Nuit,"3 places de la, 75014 Paris, France",07 62 54 03 98,,NON,NON,3.5,102,,PMR,10,lundi: Ouvert 24h/24 | mardi: Ouvert 24h/24 | mercredi: Ouvert 24h/24 | jeudi: Ouvert 24h/24 | vendredi: Ouvert 24h/24 | samedi: Ouvert 24h/24 | dimanche: Ouvert 24h/24,,"grocery_or_supermarket, store",https://maps.google.com/?cid=6524783184983094903,"Mytho 2h54 fermé, dommage direction Didot express, la concurrence | Ne respecte pas les 24h/24 jamais ouvert de nuit... clodos aux alentours ça craint de folie...je ne recommande pas du tout et JAMAIS... N'est pas ouvert c'est faux... N'y allez pas vous allez être déç","professionnel, frais",vos horaires sont introuvables ou incorrects en ligne,"2 de vos clients sur Google se plaignent du meme probleme : vos horaires sont introuvables ou incorrects en ligne. Un d'eux a meme ecrit : ""Mytho 2h54 fermé, dommage direction Didot express, la concurrence"" C'est frustrant, et vos clients se deplacent pour rien. La solution : un site avec vos horaires toujours a jour.",A contacter,,,,,,,
14,Commerce,Epicerie,Paris,Mini Market,"94 Av. Philippe Auguste, 75011 Paris, France",06 73 24 46 51,,NON,NON,4.1,44,,livraison,3,lundi: 15:15 – 06:00 | mardi: 15:15 – 06:00 | mercredi: 15:15 – 06:00 | jeudi: 15:15 – 06:00 | vendredi: 15:15 – 07:00 | samedi: 15:15 – 07:00 | dimanche: 15:15 – 06:00,,"grocery_or_supermarket, store",https://maps.google.com/?cid=9465595604282401384,"Afficher ouvert jusqu'à 6h du matin ce dimanche, je me suis déplacé et j'ai trouvé fermé a 22h20 | Pour dépanner et  faciliter la vie de la population ce lieu est très utile .",,vos horaires sont introuvables ou incorrects en ligne,"2 de vos clients sur Google se plaignent du meme probleme : vos horaires sont introuvables ou incorrects en ligne. Un d'eux a meme ecrit : ""J’y suis passée un jeudi soir et c’était fermé alors que c’est écrit ouvert"" C'est frustrant, et vos clients se deplacent pour rien. La solution : un site avec vos horaires toujours a jour.",A contacter,,,,,,,
15,Commerce,Epicerie,Paris,Easy Market,"3 Rue Belidor, 75017 Paris, France",06 19 39 13 94,,NON,NON,4.4,80,,livraison,9,lundi: 15:00 – 02:30 | mardi: Fermé | mercredi: 15:00 – 02:30 | jeudi: 15:00 – 02:30 | vendredi: 15:00 – 02:30 | samedi: 15:00 – 02:30 | dimanche: 15:00 – 02:30,,"convenience_store, grocery_or_supermarket, store, supermarket",https://maps.google.com/?cid=9282692107883811473,,"accueil, professionnel, chaleureux",peu d'avis Google,"Vous n'avez que 5 avis sur Google. Vos concurrents en ont souvent 10x plus. Sans site web, vous etes invisible pour les gens qui cherchent votre activite.",A contacter,,,,,,,
16,Commerce,Epicerie,Paris,Super Market,"114 Bd du Montparnasse, 75014 Paris, France",07 46 37 58 22,,NON,NON,4.2,29,,"livraison, PMR",10,lundi: 12:30 – 03:00 | mardi: 12:30 – 03:00 | mercredi: 12:30 – 03:00 | jeudi: 12:30 – 03:00 | vendredi: 12:30 – 03:00 | samedi: 12:30 – 03:00 | dimanche: 12:30 – 03:00,,"convenience_store, store",https://maps.google.com/?cid=10250846742640936781,"J ai achete une petite bouteille d’eau cristaline à 1,50€. Je m apprête à la boire et je me rends compte que la couleur de l eau tire vers le vert ! La bouteille n est pas fermée et il semble y avoir  | Le proprietaire a changé. Une catastrophe. Moi j ai même peur d y aller. Le soir, ca traine devant la boutique, je rentre acheter une sauce tomate, le gars est au telephone et ne daigne meme pas lever","accueil, sympathique, propre",difficile a joindre par telephone,"Un de vos clients sur Google signale que c'est difficile a joindre par telephone. Un d'eux a meme ecrit : ""Le soir, ca traine devant la boutique, je rentre acheter une sauce tomate, le gars est au telephone et ne daigne meme pas lever le"" C'est frustrant, surtout quand on a besoin d'un renseignement ou d'un devis urgent. La solution : un formulaire de contact en ligne disponible 24h/24.",A contacter,,,,,,,
17,Restauration,Pizzeria,Marseille,La loge snack pizzeria spécialité tunisienne,"22 Rue de la Loge, 13002 Marseille, France",07 53 72 67 62,,NON,NON,4.5,393,,"livraison, a emporter, sur place, vegetarien, dejeuner, diner",10,lundi: 10:00 – 02:00 | mardi: 10:00 – 02:00 | mercredi: 10:00 – 02:00 | jeudi: 10:00 – 02:00 | vendredi: 10:00 – 02:00 | samedi: 10:00 – 02:00 | dimanche: 10:00 – 02:00,,restaurant,https://maps.google.com/?cid=3488427714396128038,,"accueil, rapide, delicieux",peu d'avis Google,"Vous n'avez que 5 avis sur Google. Vos concurrents en ont souvent 10x plus. Sans site web, vous etes invisible pour les gens qui cherchent votre activite.",A contacter,,,,,,,
18,Restauration,Pizzeria,Marseille,O'BAR À PIZZA,"98 Cr Julien, 13006 Marseille, France",07 63 73 83 23,,NON,NON,4.0,103,,"livraison, a emporter, sur place, click&collect, PMR",10,lundi: 12:00 – 02:00 | mardi: 12:00 – 02:00 | mercredi: 12:00 – 02:00 | jeudi: 12:00 – 02:00 | vendredi: 12:00 – 02:00 | samedi: 12:00 – 02:00 | dimanche: 12:00 – 02:00,,restaurant,https://maps.google.com/?cid=6339798940754835768,"Nous avons commandé deux pizzas : une fromage 10, 50 et une vege à 13,50. Une fois la commande servi, on a trouvé ça bizarre que la vege soit sans fromage dessus avec des légumes pas cuits. Un peu che | La pizza m’a donné la pâteuse j’avais l’impression d’avoir tiré sur un pétard. Aucun aliment frais, rien de bon. C’est une folie que cet établissement soit encore ouvert dans Marseille. Point positif:","excellent, qualite, rapide",vos horaires sont introuvables ou incorrects en ligne,"Un de vos clients sur Google signale que c'est vos horaires sont introuvables ou incorrects en ligne. Un d'eux a meme ecrit : ""C’est une folie que cet établissement soit encore ouvert dans Marseille"" C'est frustrant, et vos clients se deplacent pour rien. La solution : un site avec vos horaires toujours a jour.",A contacter,,,,,,,
19,Restauration,Pizzeria,Marseille,Pizza Au Feu De Bois,"130 Chem. de la Madrague-Ville, 13015 Marseille, France",07 84 74 55 23,,NON,NON,4.1,73,,"a emporter, sur place",10,lundi: Ouvert 24h/24 | mardi: Ouvert 24h/24 | mercredi: Ouvert 24h/24 | jeudi: Ouvert 24h/24 | vendredi: Ouvert 24h/24 | samedi: Ouvert 24h/24 | dimanche: Ouvert 24h/24,,restaurant,https://maps.google.com/?cid=17915048663552175015,"Honnêtement, grosse déception. 2h d'attente pour se faire livrer, on a attendu devant la plage et le livreur a mis une éternité à arriver. La pizza était très sèche, avec une pâte qui représentait 95%","rapide, qualite, efficace",les clients ne peuvent pas voir vos realisations avant de vous choisir,"Un de vos clients sur Google signale que c'est les clients ne peuvent pas voir vos realisations avant de vous choisir. Un d'eux a meme ecrit : ""Expérience à revoir"" C'est frustrant, ce qui vous fait perdre des clients face a des concurrents mieux visibles. La solution : une galerie photo de vos meilleurs travaux.",A contacter,,,,,,,
20,Restauration,Pizzeria,Marseille,Pizzeria Di Venezia,"12 Rue Pythéas, 13001 Marseille, France",06 26 18 47 03,,NON,NON,4.6,276,modere,"a emporter, sur place, petit-dej, dejeuner, diner, PMR",10,lundi: 12:00 – 16:00 | mardi: 12:00 – 16:00 | mercredi: 12:00 – 16:00 | jeudi: 12:00 – 16:00 | vendredi: 12:00 – 16:00 | samedi: 12:00 – 15:10 | dimanche: Fermé,,restaurant,https://maps.google.com/?cid=13678158251716794679,"Un cadre chaleureux et un accueil au top, on se sent bien ici. Si la pizza au feu de bois est une belle réussite, les pâtes ont été une vraie déception : trop cuites et accompagnées d'une sauce qui ma","qualite, accueil, chaleureux",peu d'avis Google,"Vous n'avez que 5 avis sur Google. Vos concurrents en ont souvent 10x plus. Sans site web, vous etes invisible pour les gens qui cherchent votre activite.",A contacter,,,,,,,
